Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,65.45875,-76.95375,180.0,bottom
C2,22pF,C_0402_1005Metric,74.83,-66.31,180.0,bottom
C3,22pF,C_0402_1005Metric,88.54,-79.55,90.0,bottom
C4,1uF,C_0402_1005Metric,101.203125,-61.9125,270.0,bottom
C5,1uF,C_0402_1005Metric,104.79,-68.44,0.0,bottom
C6,10uF,C_0402_1005Metric,122.634375,-55.215237,0.0,bottom
C7,1uF,C_0402_1005Metric,122.634375,-56.852346,0.0,bottom
C8,100nF,C_0402_1005Metric,122.634375,-58.489455,0.0,bottom
C9,100nF,C_0402_1005Metric,122.634375,-60.126564,0.0,bottom
C10,100nF,C_0402_1005Metric,122.634375,-61.763673,0.0,bottom
C11,100nF,C_0402_1005Metric,122.634375,-63.400782,0.0,bottom
C12,100nF,C_0402_1005Metric,122.634375,-65.037891,0.0,bottom
C13,100nF,C_0402_1005Metric,122.634375,-66.675,0.0,bottom
C14,100nF,C_0402_1005Metric,122.634375,-68.312112,0.0,bottom
C15,1uF,C_0402_1005Metric,122.634375,-75.009375,0.0,bottom
C16,100nF,C_0402_1005Metric,122.634375,-77.390625,0.0,bottom
C17,100nF,C_0402_1005Metric,122.634375,-79.771875,0.0,bottom
F1,500mA,Fuse_1206_3216Metric,76.2,-47.625,180.0,bottom
H1,Hole,ToolingHole,48.94625,-50.97375,0.0,top
H2,Hole,ToolingHole,51.79625,-81.31375,0.0,top
H3,Hole,ToolingHole,120.04625,-84.37375,0.0,top
J1,TYPE-C-31-M-12,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,66.675,-38.728125,180.0,bottom
LED1,LTW-C230DS,LTW-C230DS,57.15,-61.9125,0.0,bottom
LED2,LTW-C230DS,LTW-C230DS,76.2,-61.9125,0.0,bottom
LED3,LTW-C230DS,LTW-C230DS,95.25,-61.9125,0.0,bottom
LED4,LTW-C230DS,LTW-C230DS,114.3,-61.9125,0.0,bottom
LED5,LTW-C230DS,LTW-C230DS,57.15,-80.9625,0.0,bottom
LED6,LTW-C230DS,LTW-C230DS,76.2,-80.9625,0.0,bottom
LED7,LTW-C230DS,LTW-C230DS,95.25,-80.9625,0.0,bottom
LED8,LTW-C230DS,LTW-C230DS,114.3,-80.9625,0.0,bottom
Q1,SI2302,SOT-23,47.99,-63.87,90.0,bottom
R1,150,R_0603_1608Metric,55.51,-65.01,0.0,bottom
R2,150,R_0603_1608Metric,83.77,-58.75,180.0,bottom
R3,150,R_0603_1608Metric,95.25,-65.484375,0.0,bottom
R4,150,R_0603_1608Metric,114.3,-65.484375,0.0,bottom
R5,150,R_0603_1608Metric,57.15,-84.534375,0.0,bottom
R6,150,R_0603_1608Metric,76.2,-84.534375,0.0,bottom
R7,150,R_0603_1608Metric,95.25,-84.534375,0.0,bottom
R8,150,R_0603_1608Metric,114.3,-84.534375,0.0,bottom
R9,33,R_0603_1608Metric,48.2,-68.23,180.0,bottom
R10,10k,R_0603_1608Metric,47.93,-60.0,180.0,bottom
R11,1k,R_0402_1005Metric,61.9125,-80.9625,90.0,bottom
R12,5k1,R_0402_1005Metric,63.103125,-48.815625,0.0,bottom
R13,5k1,R_0402_1005Metric,70.246875,-48.815625,180.0,bottom
R14,1k,R_0402_1005Metric,65.484375,-75.009375,180.0,bottom
R15,27,R_0603_1608Metric,65.484375,-55.959375,270.0,bottom
R16,27,R_0603_1608Metric,61.9125,-60.721875,270.0,bottom
R17,1k,R_0402_1005Metric,76.26,-67.71,0.0,bottom
TS1,SW_Push,TS-1088,66.675,-82.153125,270.0,bottom
TS2,SW_Push,TS-1088,104.775,-82.153125,270.0,bottom
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,85.48,-64.85,90.0,bottom
U2,USBLC6-2SC6,SOT-23-6,66.675,-50.059375,0.0,bottom
U3,XC6206PxxxMR,SOT-23-3,104.775,-64.29375,270.0,bottom
U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,67.806371,-64.29375,315.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,84.83,-79.34,270.0,bottom
